NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Chesapeake city,Virginia,91368,2.68,93.3,35.8,15.7,85,6,8.4,26,92703,42753,7.6,95076,1.3,3.5,4.5,3.8,4.1,73.3,339500,249377,50.8,6.1,24.1,13.8,57.3,29.3,0.2,3.7,0.1,7.1,5.1,2.7,5716,95704,17709,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,4182025,530696,723.2717246
Chesterfield County,Virginia,134144,2.7,92.6,42.3,9.3,87.7,8.9,13.1,26.4,95757,45041,6.7,139584,0.5,2.3,3.4,5,3.7,77.4,306500,366019,51.5,5.8,23.6,15.5,61.9,23.6,0.2,3.5,0.1,5.4,7.3,6.1,7838,118586,30282,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,6746095,682852,832.9516176
Clarke County,Virginia,5617,2.61,93.7,34.5,10.7,89.8,4.8,7.4,35.3,107475,50751,5.4,6398,1.2,0.5,0.5,0,3.1,77.9,496600,14882,50.6,3.6,19,21.5,88.2,4.6,0.3,1.2,0,3.3,3.4,3.5,376,2868,1492,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,94547,12851,83.09417087
Colonial Heights city,Virginia,7612,2.36,91.5,28.1,13.4,85.3,5.7,8.3,24.6,72216,37039,10.2,8123,3.3,3.5,2.9,4.8,2.8,66.4,221400,18158,54.3,6.4,23.4,18.8,72,17.2,0.2,3.6,0.1,4.3,3.5,3.4,642,8867,1145,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,738527,112445,2310.015694
Covington city,Virginia,2503,2.25,88.6,11.4,6.5,95.6,0.9,2.6,16.7,45737,24657,16.9,3049,4.4,2,0.3,0.2,0.8,75.2,80100,5722,52.5,6.1,22.5,19.1,81.6,13.5,0,1.1,0,3.8,0.8,0.9,195,3612,268,173,0,0,0,0,0,0,144507,15269,1012.67393
Craig County,Virginia,1810,2.7,87.9,16,6.5,92.3,0.7,0.9,33.9,66286,32020,10.9,2466,2.4,0.1,0.2,0,0.2,80.9,184700,4898,50.1,7.7,25.1,19.2,94.7,0.1,0,0,0,3.8,1.5,0.9,69,407,336,933.3333333,0,0,79.5,0,18.33333333,159.8333333,22506,1965,15.63860957
Culpeper County,Virginia,18188,2.82,89.4,26.8,9.8,88.7,8.1,12.2,36.9,92359,39062,7.3,19285,1,0.9,1.7,4.1,2.3,74.3,369600,52822,50,6.2,24.5,16.2,71.4,13.4,0.3,0.7,0.1,7.3,9.7,7.5,1078,13745,4186,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,671176,87712,138.7311089
Cumberland County,Virginia,4055,2.38,86.1,18.5,8.5,94.9,1,1.8,41.4,56497,38099,7.9,4658,1.9,0.3,0.4,0,0.8,77.6,208600,9697,49.6,4.4,19.6,22.7,63.7,30.4,0,0.8,0.1,4.6,0.8,0.3,147,766,554,134,0,0,0,0,0,0,40405,2278,33.38468058
Danville city,Virginia,18755,2.18,84.4,18.7,9.1,88.4,3.6,5.5,19.2,41484,26453,25.3,22291,3.2,4.5,5.8,6.9,6.2,49.5,102000,42507,54.1,5.7,22,21.1,42,50.2,0.1,1.4,0,5.5,3.4,1.9,1222,22838,2515,1073,58,0,0,0,0,184,1144016,148825,935.6662527
Dickenson County,Virginia,5543,2.46,81.4,11.4,6.1,93.8,0.3,0.4,28,40143,25003,22.5,7367,0.1,0.7,0.5,1.9,0.2,77.2,89200,14089,49.1,4.6,19.3,23.4,97.7,0.7,0.2,0.4,0,0.9,0.6,0,201,2012,445,150,0,0,0,0,0,0,103536,8413,43.32871877
Dinwiddie County,Virginia,10432,2.61,89.5,17.9,10,89.7,2.3,3.8,33.1,77225,35506,11,11837,1,1,0.4,2.1,0.2,78.5,223800,28057,49.7,5.1,20.4,18.5,65.4,30.8,0,0.8,0.1,1.9,2,1.1,368,5729,1626,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,148106,20546,56.64794257
Emporia city,Virginia,2245,2.43,76.9,16.5,6.9,87.8,3.2,5.4,23.4,41442,24915,17.3,2810,2.8,8.5,5.4,2.4,0.7,40,129400,5680,55.4,5.3,26.6,17.7,24.6,60.6,0,0.8,0,14,5.1,3.6,220,3934,275,167,0,0,0,0,0,22,125722,31134,774.3426469
Essex County,Virginia,4258,2.46,82.6,15.3,8,90.3,1.3,6,34.8,52335,29021,17.1,5768,0.6,1.5,4.9,0.9,2.8,65.4,217000,10602,53,4.7,17.4,23.5,57.2,37.7,0.3,0.6,0,4.1,1.2,1,297,3106,818,274,0,0,0,0,0,20,221169,20522,42.60405726
Fairfax city,Virginia,9129,2.58,92.2,60.1,8,82.4,29.6,36.1,28.5,128708,59688,10,9323,0.6,1.7,5.1,15.4,6.6,68.3,649600,24242,50.7,7.3,23.1,14.4,59.6,5.9,0.1,17.4,0,9.2,12.8,14.6,1995,25089,3280,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,1721961,223909,3848.912011
Fairfax County,Virginia,410844,2.76,93.5,64.1,8,85.9,30.6,38.7,30.4,145165,67598,6,426970,0.5,1.5,5,9.6,14,68.6,666900,1145354,50,6,23.1,14.2,54.2,9.9,0.4,20.2,0.1,9.2,11.1,13.3,31808,647247,118009,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,16029985,3518988,2934.811636
Falls Church city,Virginia,5740,2.53,97.4,78.9,8,79.8,15.5,20,27.7,164536,83001,2.3,6127,0.1,3.9,2.4,4.5,39.8,55.6,938500,14576,50.1,4.8,24.3,13.7,72.5,4.6,0.3,8.8,0,10.4,8.5,7.4,863,9751,1473,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,457845,94265,7142.638344
Fauquier County,Virginia,26011,2.8,92.2,39.4,10.4,90.3,7.8,10.5,37.6,122785,54878,5.8,28218,1.1,1.7,0.6,1.9,2.2,77.5,501200,73290,50.1,5.6,23.1,16.7,83,6.6,0.2,1.8,0,6.8,4.9,5,1917,18501,7004,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,1009515,150201,109.9094631
Floyd County,Virginia,6655,2.32,90.8,23.2,8.3,91,3,4.4,33.4,57146,31788,9.4,7947,1.1,0.1,0.3,0.1,0.8,86.3,205400,15532,50.8,4.3,18.1,24.2,94.1,3,0.3,0.4,0,1.8,1.5,0.5,331,2746,1386,612.8,1,0,43,0,1.4,135.2,74838,0,41.34432931
Fluvanna County,Virginia,10195,2.57,93.3,35.8,9.1,89.1,3.1,5.1,32,90766,48426,6.1,11183,0.2,0.1,0.4,1.9,0,88.4,270900,27442,53.3,5.1,19.8,20.4,77.3,13,0.1,1.4,0.1,6.2,3.3,1.2,410,2756,2044,804,0,0,63.66666667,0,0,189.6666667,85560,8252,94.97859626
Franklin city,Virginia,3349,2.41,84.3,23.2,11.5,86.9,3.2,5.3,23.3,57537,29683,18.7,3892,9,6.7,7.7,1.5,3,55.6,197900,8194,52.1,7.4,25.7,19,38.4,51.4,0,3.4,0,6.4,2.8,0.6,257,3475,489,255,0,0,0,0,0,0,234750,0,962.5070217
Franklin County,Virginia,22022,2.43,89.7,23.8,8,89.8,2.3,3.1,30.9,66275,37329,13.3,28305,0.9,1.1,1.7,2.5,0.9,80,207700,54838,50.5,4.3,18.7,24,87.5,7.7,0.3,0.6,0,3.2,1.8,0.8,1186,12947,3929,933.3333333,0,0,79.5,0,18.33333333,159.8333333,515395,53693,81.14712084
Frederick County,Virginia,33534,2.7,88.7,29.1,9.5,88,7.5,11,32.7,92443,43375,6.8,35963,0.4,0.5,1.9,2.9,3.4,77.5,333600,92007,49.7,5.7,22.7,18.1,86,4.2,0.4,1.9,0.1,4.4,4.8,4.9,1607,29327,6871,947,0,0,0,0,0,0,1297827,0,216.1659319
Fredericksburg city,Virginia,11276,2.3,92.5,43.5,10,72.3,11.3,16,32.4,83445,43063,18,12118,2.2,2.8,10,20.2,12.8,38.5,438400,28258,53.3,6.1,20.9,11.2,59.9,21.5,0.2,3.8,0,9.1,8.2,6.8,1413,20201,2515,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,1014966,227475,2778.380596
Galax city,Virginia,2618,2.42,80.2,17.5,10.6,86.7,7.8,16.9,22,44612,29802,22.4,3169,4.6,3.4,1.2,4.7,2.2,70.6,109300,6687,55.5,6.9,25.4,18.8,77.1,8,0.2,0.4,0.4,10,11.7,6.3,304,4984,430,264,0,0,0,0,0,0,242323,29555,770.6073162
Giles County,Virginia,6852,2.41,90.4,19.3,6.7,93.5,1.5,2.4,29,61987,31917,9.7,8309,2.7,0.6,1.5,0.9,2.6,77.7,141900,16711,50.6,4.9,20.1,21.7,95,2.3,0,0.4,0.2,2.1,1.3,0.2,285,3659,892,612.8,1,0,43,0,1.4,135.2,178370,0,46.80539791
Gloucester County,Virginia,14857,2.6,89.9,25.5,12.5,89.3,1.7,2.9,34.4,83750,39450,7.5,17064,1.1,1.3,3.5,0.5,0.4,79.1,274500,38875,50.3,4.8,19.9,19.6,84.5,8.2,0.2,0.7,0,5.7,3.6,0.6,855,7529,2662,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,525400,51507,171.4707208
Goochland County,Virginia,9788,2.44,94.2,44.4,8.2,91,3.6,5.4,29.9,105600,63645,4.2,10623,0.2,0.7,0.3,1,4.3,84.5,433600,24906,50.2,3.6,17,23,78.8,14.5,0,1.7,0,3.2,2.5,0.8,699,19133,2592,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,190047,40041,84.64150333
Grayson County,Virginia,6148,2.34,83,14.1,7.8,92.3,1.9,3.8,26.4,43348,26270,18.7,8948,1,0.6,1.4,0,0.5,80.8,129100,15356,47.5,3.8,16.3,25.4,90.2,5.5,0,1.2,0,2.8,1.8,1.6,166,1260,1044,0,0,0,0,0,0,0,40294,3888,35.19808722
Greene County,Virginia,7662,2.67,89.3,27.9,9.5,89.1,4.6,6.7,30.3,81338,39180,11.1,8555,0.2,0.5,2.6,2.5,0.9,78.2,287800,20631,52.2,5.6,23.4,18.5,80.8,6.4,0.1,2.3,0.1,5,6.2,4.9,373,3039,1634,804,0,0,63.66666667,0,0,189.6666667,193026,23334,127.0993039
Greensville County,Virginia,3222,2.62,79.7,13.4,7.9,87.3,4.2,6.4,26.5,51823,22437,12.9,4013,0.1,0.4,0.2,3.4,0,69.7,146600,11373,38.9,4.5,16.3,15.7,36.4,53.5,0.1,0.3,0,6.8,3.6,2.8,100,2299,441,119,0,0,0,0,0,0,152043,10062,38.39756372
Halifax County,Virginia,13519,2.45,82.2,17.1,8.9,95.1,1.3,2.9,25.4,49145,26440,14.7,17384,0.6,2.6,1.3,0.6,0.6,72.7,133200,34013,52,5,20.1,24.9,60.6,34.7,0.1,0.2,0,3.9,1.9,0.6,677,9584,1981,659,27,0,0,0,0,77,357669,42846,41.46963432
Hampton city,Virginia,57470,2.32,92.8,27.7,18,83.3,5.5,7.2,22.3,64430,35002,13.5,62372,2,5.4,7.7,7.1,6.1,55.6,219800,137217,51.7,6.1,21.3,15.9,38.7,49,0.3,2.1,0.1,7.9,4,2.3,2401,38161,8872,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,1568965,304416,2613.969769
Hanover County,Virginia,41383,2.62,94.4,41.8,8.3,91.1,4.2,4.2,26.6,104678,49110,5.2,43331,0.2,0.7,1.9,2.9,2.1,83,347900,110513,50.6,4.9,21.6,18.5,83.2,8.7,0.2,1.7,0.1,4.8,3,1.9,3306,47471,9400,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,2076996,209154,230.3254904
Harrisonburg city,Virginia,17142,2.59,83.6,35.2,3,72.8,17.6,26.8,17.3,56050,25881,27.2,18599,4.9,8.5,6.9,14,5.9,38.1,263700,51784,51.7,4.8,16.4,9.6,71,7.5,0.4,3.2,0,11.6,12.3,10.7,1627,24325,3413,1393.5,3,0,0,0,7.5,300.5,1378831,258970,3057.576013
Henrico County,Virginia,134094,2.46,92.9,45.4,6.1,86.2,13.3,15.4,22.4,82424,47865,8.4,141349,1.1,3.7,6.1,7.1,6.3,64.6,309700,333120,52.2,5.9,22.3,16.2,52.7,29.6,0.2,9.4,0,5.2,4.8,3.2,9477,174002,29550,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,6237037,1007694,1415.712148
Henry County,Virginia,20411,2.45,81.3,14.4,6.9,91.5,2.9,6.4,24.1,43694,26097,16.1,25475,1.1,2.2,2.4,2.6,1.3,73.2,111800,50760,51.9,4.4,19.4,24.4,70.8,22.9,0,0.5,0,3,4.2,1.9,792,11114,2586,492,0,0,0,0,0,93,443833,47212,132.2266557
Highland County,Virginia,1014,2.22,90,30.7,10.2,90.5,1.2,2.1,24.6,57070,32704,10.3,1814,1.9,0.4,0.6,1.1,0,86.4,182500,2247,54,2.7,12.8,36.9,94.3,0,0,3.1,0,2.6,0.6,0,83,311,270,0,0,0,0,0,0,0,10486,0,5.275037955
Hopewell city,Virginia,9348,2.44,86.9,11.1,10.7,82.6,3.3,5.6,25.2,50661,25664,21.3,10415,3.4,4.4,3.7,2.2,7.7,53.6,151600,23046,53,7.2,25.6,14.7,46,43.3,0,1,0,7.4,4.9,1.7,411,5427,1252,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,162670,37455,2175.798176
Isle of Wight County,Virginia,15196,2.54,91.2,29.8,16,89.8,3.6,4.7,29.6,91680,45230,9.8,16551,0.9,1.1,3.2,2.8,2,78.3,327600,38898,50.1,4.9,21.1,19.3,70.4,22.1,0.2,1,0,4.6,2.8,1.7,744,9712,2680,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,203843,49464,117.5526041
James City County,Virginia,30690,2.53,95.7,50,14.8,86.8,7,7.5,26.2,100711,50984,7.3,34104,1.4,3.1,5.8,3.7,4.1,77.6,396800,78818,51.6,4.9,19.6,26.1,76,12.6,0,2.6,0,7,5,2.7,1768,24123,6455,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,749300,278726,537.511929
King and Queen County,Virginia,2826,2.36,86.4,22.6,7.7,94,0.9,2,34.6,70147,38904,19.9,3464,0.6,0.3,0,0,0,77.7,212500,6681,47.8,4.5,18.4,22.3,66.9,24.1,0.4,0,0,5.4,3.3,2.8,120,651,395,99,0,0,0,0,0,0,19345,0,22.29005502
King George County,Virginia,9737,2.75,90.3,34.9,14.9,87.6,3.4,4.9,35.6,103264,44551,6.9,10391,1.5,3.1,1.4,0.6,0.3,75.2,372300,26985,49.2,5.8,24.7,13.6,72.6,15.8,0.1,1.4,0,6.6,6.6,2.3,476,5268,1643,341,0,0,0,0,0,0,343233,25108,149.3977501
King William County,Virginia,6893,2.58,93.5,24.8,11.4,94.9,2.3,2,34.7,79398,36145,8,7470,0.6,0,1,0,0.7,86.1,252200,17845,50.5,6,22.8,16.4,78.9,14.9,0.9,0.8,0.1,4.2,1.2,0.8,340,2806,1212,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,141420,13912,62.60048098
Lancaster County,Virginia,5238,2.03,86.4,32.3,13.8,91.1,4.6,4.8,26.6,62674,46405,14,7452,3,1.9,1.5,0.6,1.6,82.2,292300,10866,51,3.2,14.7,39.4,67.2,27.6,0.1,0.5,0,2.9,2.2,1.6,442,4176,1095,454,0,0,0,0,0,78,177008,25632,79.54388835
Lee County,Virginia,8324,2.5,81.7,11.5,7.8,89.5,1.4,2.6,26,41619,23257,26,10906,1.5,2.9,1.1,0.7,0.5,72.2,95800,22287,47,4.6,18.7,22.2,93.2,4.2,0.1,0.3,0,2.1,0.9,1.5,245,2207,1058,197,0,0,0,0,0,0,149990,0,53.7992943
Lexington city,Virginia,1991,2.1,96.2,60.2,3,82.1,4.6,8.1,13.2,93651,29117,16.6,2525,11.5,6.8,8.4,1.9,3.8,52.8,224700,7346,41.7,2.8,7.2,14.6,83.5,5.2,0.5,3.1,0,6,4.2,1.9,254,4281,455,243,0,0,0,0,0,0,94711,43805,2979.30645
Loudoun County,Virginia,138549,3.02,94.4,63.5,7.6,88,25.9,33,32.2,170463,67251,3.8,142270,0.6,1.1,2.6,6.4,6.8,77.4,657000,420773,49.9,6.5,27.3,10,57.5,7.7,0.3,20.6,0.1,9.4,9.8,10.3,11720,164564,41540,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,6080362,1310471,801.7946403
Louisa County,Virginia,14642,2.59,88.6,25.8,10.3,92.1,4.1,6.9,34.5,76594,40803,10.9,17707,0.3,1,0.5,1.7,1.1,79.9,266700,38106,49.9,5.3,20,20.2,78.2,13.5,0.2,0.5,0,6.3,3.9,1.2,650,7879,2707,470,0,0,0,0,0,0,355415,31875,75.76809373
Lunenburg County,Virginia,4566,2.43,78.7,11.1,9.3,95.3,4.7,5.7,32,54438,26486,13,5886,0.3,1.3,0.2,0.2,0.5,69.8,139700,11988,47.6,4.8,19.6,22.3,58.6,32.8,0,0.3,0,4.3,6.1,5.6,159,1398,643,125,0,0,0,0,0,0,60514,2996,28.2511031
Lynchburg city,Virginia,28910,2.37,90.3,38,6.4,77.7,4.2,6.9,16.9,56243,28478,17.5,33821,4.4,3.6,7.7,9.6,9.4,48.7,196000,79166,53.3,5.9,19,14.3,62.7,27.6,0.3,2.2,0.2,5,3.8,2.1,2240,53593,5342,940.8333333,0,2.666666667,47.83333333,0,0,0,2162886,292100,1677.782134
Madison County,Virginia,5324,2.55,87,24.5,7.7,90.9,3.7,3.5,29,74586,35772,8,6064,0.2,0.4,0.4,0,1.1,79.2,311500,13828,51.1,5.3,20,23.3,85.7,7.9,0,0.7,0,5.2,2,1.6,281,2555,1298,294,0,0,0,0,0,0,140263,11222,41.35821065
Manassas city,Virginia,13840,3.07,85.8,34.5,7.4,84.4,29.4,42.3,34,110559,42958,4.7,14345,0.6,1.4,4.4,9.3,6.8,74,393900,42620,49.2,7.7,26.4,10.7,53.2,13.4,0.6,6,0,18.1,23.5,26,1508,17017,4161,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,961789,117294,4171.378099
Manassas Park city,Virginia,5221,3.28,80.1,25,9,88.1,36.5,51.9,41.2,91673,41595,5.1,5493,4.9,1.4,0.6,6.8,14.5,63.4,370700,17123,49.3,6.9,24.3,9.8,45.4,14.7,3.2,11,0,11.7,21,37.2,334,3135,1728,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,96180,6553,6923.039553
Martinsville city,Virginia,5628,2.32,86.5,20.3,6.9,83.3,5.1,9.1,19.6,39127,27052,24.6,7042,3.6,4.8,5,4.8,7,54.5,82800,13539,53.1,7,25.4,17.7,44.6,45.4,0.6,0.8,0.1,5.2,4.8,2.9,512,8800,791,514,41,0,0,0,0,56,301909,34357,1145.827826
Mathews County,Virginia,3742,2.24,94.3,29.8,11.8,94.1,1.1,3.5,36.9,79054,48173,6.8,5478,0.6,0.7,2.6,0.3,0.2,83.8,355900,8537,51.7,3.1,15.1,30.7,86.8,9,0,0,0.4,3.5,1.5,1.8,192,1039,812,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,45172,0,102.8282703
Mecklenburg County,Virginia,13037,2.25,86.5,21.5,7.9,93.4,3.5,4.2,25.7,51265,31010,18.8,19063,1.6,1.2,2.6,0.6,1,70.9,157800,30367,50.5,4.9,18.4,26.2,62.4,33.3,0.4,1,0,2.3,1,0.9,765,8494,1755,643,0,0,0,0,0,111,498792,52697,48.91496946
Middlesex County,Virginia,4714,2.19,89.4,29.6,11.4,88.9,3.5,4.7,29.8,69389,39111,9.7,7127,1,1.7,1.6,0.2,0.1,84.3,288900,10738,50.1,3.5,15.8,33.6,79,14.8,0,0.8,0.2,3.4,3.4,1.5,294,2029,996,271,0,0,0,0,0,0,101708,16132,81.19364901
Montgomery County,Virginia,36062,2.47,95,46.5,4.4,77.8,8.6,10.1,18,65270,32776,24.9,41660,4.2,3.6,5.5,13,4.7,54.9,269300,99373,48.1,3.8,15.1,13.2,83.9,4.1,0.3,6.5,0.1,3.6,2.8,1.9,1991,29583,5901,612.8,1,0,43,0,1.4,135.2,1117119,231597,254.7150141
Nelson County,Virginia,6132,2.39,86.6,30.4,9.1,90.2,4.3,5.5,29.9,64028,42837,13.2,9919,0.2,1.4,7.4,3.6,0.5,79,275100,14773,49.5,4.7,17.3,28.5,82.3,12.4,0.1,0.2,0,2.6,3.6,0.2,367,3200,1330,804,0,0,63.66666667,0,0,189.6666667,201626,62910,31.71566835
New Kent County,Virginia,8675,2.61,94.1,33.6,10.9,88.2,3.5,4.8,31.7,113120,49666,3.9,9188,0.4,0,0,0,0.3,92.3,354200,23296,47.7,4.1,19.1,18,79.3,13.1,0.7,1.1,0,4.6,2,2.7,422,3915,2399,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,179689,0,109.9384264
Newport News city,Virginia,75465,2.36,91.7,28.7,13.9,85.8,7.9,10.6,23.4,63355,36135,14.7,81681,1.3,7.1,12.8,8.7,9.6,47.6,233400,185118,51.3,7.1,23.2,13.4,44.1,41.2,0.2,3.5,0.1,8.3,6.4,2.6,3786,93795,11661,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,2596653,390000,2597.756818
Norfolk city,Virginia,93797,2.29,89.3,32.2,15,78.6,7.4,10.7,22.7,60998,35761,16.9,101710,6.1,7.9,10.2,6.6,11.8,44.8,254200,236973,49.1,6.5,20.3,12.3,44.8,40.7,0.4,3.8,0.2,6.7,5.6,3.5,5395,98719,14715,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,2696254,659291,4556.402157
Northampton County,Virginia,5344,2.22,86.9,29.3,10,90.7,5.9,9.8,24.7,54693,37321,16.7,7412,1.5,1.6,2.2,0.7,2.5,64.3,246300,12132,52.8,4.5,19.1,27.6,58.3,31.7,0,1.1,0,6.4,6.2,2.8,304,2763,1137,251,0,0,0,0,0,52,111542,34300,55.30916618
Northumberland County,Virginia,5174,2.32,89.2,33.7,10.7,87.6,2,5.7,38.8,64655,45156,14.8,8989,1.8,0,0.1,0,0.8,88.8,303700,12007,53.7,3.1,14.8,36.8,70.4,20.9,0,0.9,0,7.6,3,0.6,304,1644,1148,0,0,0,0,0,0,0,71605,5786,63.17896923
Norton city,Virginia,1592,2.26,90.2,19.4,6.7,85.9,0.1,0.5,20.1,36974,27666,29.1,1864,9.1,4.4,6.3,6.9,7.6,53,104200,3668,53.9,3.3,17,21.5,94.4,2,0,0.1,0,3.5,0.4,0,194,3926,196,225,0,0,0,0,0,0,185210,17174,532.4115494
Nottoway County,Virginia,5415,2.45,83.8,16.1,6.9,93.2,2.5,4.8,30.8,62366,27223,19.1,6658,1.2,1.7,1.8,0.9,0.7,71.3,169500,15638,47,5,19.6,18.3,56.1,38.1,0,0.5,0,4.9,3,1.7,295,3049,793,194,0,0,0,0,0,41,135063,15619,48.44942245
Orange County,Virginia,14309,2.52,89.8,27.3,10.5,86.9,4.5,6.5,37.1,87309,41650,13,15700,0.6,2.3,2.5,3,1.4,78.3,316000,36593,50.3,5.6,21.1,19.9,78.1,12.3,0,1.5,0,6.8,4.5,2.7,679,6911,2913,658,0,0,0,0,0,100,407274,44136,108.618358
Page County,Virginia,9351,2.51,82.4,14.7,8.6,92.2,2.2,3.1,33,56760,30146,10,11784,0.8,1.5,1.3,0.2,1.2,71.7,198000,23753,49.5,5.1,20,21.3,92.9,1.8,0.1,0.3,0,3.7,2.9,0.6,421,4033,1438,352,0,0,0,0,0,21,170350,50146,77.09809586
Patrick County,Virginia,7779,2.21,83.6,16.3,8.2,93.4,1.7,3.6,33.4,49180,32883,11.4,10007,0.8,0.5,1.7,0.4,0.5,78.9,137200,17660,49.4,4.4,17.4,26.9,91.1,5.6,0.1,0.5,0,1.9,1.9,0.9,266,3226,1100,243,0,0,0,0,0,0,175103,0,36.45892739
Petersburg city,Virginia,14703,2.22,86.4,21.8,9.5,79.4,4.4,7,25,46930,28146,22.2,17941,3.6,13.1,4.9,6,14.1,37.4,147200,33261,54.4,7.4,22.1,16.9,16.6,77.3,0,1.3,0.1,4.2,2.1,1.6,705,11113,1935,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,940745,50476,1379.647941
Pittsylvania County,Virginia,24487,2.42,84.2,15,8.2,92,1.7,3,26.2,52619,28428,16.4,29526,0.6,1,0.4,0.9,0.8,77.4,144100,60541,50.2,4.1,18.2,23.5,74.6,19.6,0.1,0.5,0,3.9,2.3,0.5,853,8177,3553,720,0,0,0,0,0,115,260438,26703,62.2846488
Poquoson city,Virginia,4657,2.67,96.2,38.4,16.4,84.9,4.6,4.6,25.8,114503,47329,4.5,4927,0,2.7,0.5,1.6,1.5,82.1,406700,12479,49.7,4.6,22.6,19.7,92.5,1.8,0.1,2.1,0,2.9,1.3,1.3,226,1417,856,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,57391,13858,797.7826661
Portsmouth city,Virginia,38962,2.41,89.5,21.2,12.6,85.6,3.1,4.8,23.2,57154,31457,17.4,43096,3.6,6.5,9.1,3.4,5.9,56.1,213300,97384,51.9,7.1,23.1,15.1,37.7,51.4,0.4,1.4,0.1,7,3.4,1.5,1620,23558,5867,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,627257,119897,2834.721871
Powhatan County,Virginia,11077,2.6,91.5,32.8,10.3,89.2,2.1,3.7,32.9,108089,47268,4.5,11619,0.8,0,0.2,0,0,91.2,356500,30503,47.5,4.3,18,19.3,86,8.8,0.3,0.2,0,3.8,2.4,1.6,729,5780,2386,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,332249,24664,113.9563312
Prince Edward County,Virginia,7416,2.25,88.4,26.9,5.9,84.2,3.3,4.7,25.1,57304,25205,18.1,9153,6.8,2.7,2.7,4.2,1.3,60.9,193400,21922,47.8,4.2,15,16.4,62.7,29.9,0.4,1.4,0.8,4.1,1.5,1.9,500,6856,1089,456,0,0,0,0,0,53,383731,46440,65.15574679
Prince George County,Virginia,12808,2.87,89.4,24.1,14.4,81,4.7,9.6,24.8,80318,31801,8.3,13344,1.4,1,0.7,3.1,1.6,70.9,252300,42634,43.8,4.9,19.6,12.9,55.8,31.1,0.6,1.8,0.4,8.4,5.1,3.2,472,8682,1804,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,287311,39221,144.5418367
Prince William County,Virginia,152616,3.13,89.9,43.7,12.2,87.8,25.8,35.7,38.1,123193,48958,6,158642,0.6,1.3,2.7,8.4,4.9,74.1,472000,481114,49.6,6.9,26.6,10.5,50.2,20.7,0.6,9.7,0.1,10.9,14.1,19.3,9022,110914,47508,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,6350630,878155,1400.871087
